service,priority,call_quarter,call_year,geoid,record_count
EMS,E0,Q1,2015,420030103001,23
EMS,E0,Q1,2015,420030103002,13
EMS,E0,Q1,2015,420030103003,20
EMS,E0,Q1,2015,420030103004,9
EMS,E0,Q1,2015,420030201001,30
EMS,E0,Q1,2015,420030201002,31
EMS,E0,Q1,2015,420030201003,75
EMS,E0,Q1,2015,420030201004,6
EMS,E0,Q1,2015,420030201005,43
EMS,E0,Q1,2015,420030201006,30
EMS,E0,Q1,2015,420030203001,20
EMS,E0,Q1,2015,420030305001,14
EMS,E0,Q1,2015,420030305002,5
EMS,E0,Q1,2015,420030402001,8
EMS,E0,Q1,2015,420030402002,14
EMS,E0,Q1,2015,420030404001,4
EMS,E0,Q1,2015,420030404002,10
EMS,E0,Q1,2015,420030405001,13
EMS,E0,Q1,2015,420030405002,12
EMS,E0,Q1,2015,420030406001,11
EMS,E0,Q1,2015,420030409001,17
EMS,E0,Q1,2015,420030409002,5
EMS,E0,Q1,2015,420030409003,3
EMS,E0,Q1,2015,420030501001,3
EMS,E0,Q1,2015,420030501002,8
EMS,E0,Q1,2015,420030501003,21
EMS,E0,Q1,2015,420030506001,18
EMS,E0,Q1,2015,420030506002,4
EMS,E0,Q1,2015,420030506003,6
EMS,E0,Q1,2015,420030509001,23
EMS,E0,Q1,2015,420030510001,12
EMS,E0,Q1,2015,420030510002,11
EMS,E0,Q1,2015,420030511001,3
EMS,E0,Q1,2015,420030603001,8
EMS,E0,Q1,2015,420030603002,13
EMS,E0,Q1,2015,420030605001,7
EMS,E0,Q1,2015,420030605002,3
EMS,E0,Q1,2015,420030703001,2
EMS,E0,Q1,2015,420030703002,13
EMS,E0,Q1,2015,420030703003,3
EMS,E0,Q1,2015,420030705003,7
EMS,E0,Q1,2015,420030706001,2
EMS,E0,Q1,2015,420030706002,3
EMS,E0,Q1,2015,420030708001,7
EMS,E0,Q1,2015,420030708002,4
EMS,E0,Q1,2015,420030709001,29
EMS,E0,Q1,2015,420030709002,7
EMS,E0,Q1,2015,420030709003,2
EMS,E0,Q1,2015,420030709004,4
EMS,E0,Q1,2015,420030802001,2
EMS,E0,Q1,2015,420030802002,4
EMS,E0,Q1,2015,420030804001,16
EMS,E0,Q1,2015,420030804002,3
EMS,E0,Q1,2015,420030806001,3
EMS,E0,Q1,2015,420030806002,8
EMS,E0,Q1,2015,420030807001,5
EMS,E0,Q1,2015,420030807002,4
EMS,E0,Q1,2015,420030809001,6
EMS,E0,Q1,2015,420030809002,7
EMS,E0,Q1,2015,420030901001,9
EMS,E0,Q1,2015,420030901002,4
EMS,E0,Q1,2015,420030902001,9
EMS,E0,Q1,2015,420030902002,10
EMS,E0,Q1,2015,420030902003,16
EMS,E0,Q1,2015,420030903001,12
EMS,E0,Q1,2015,420030903002,3
EMS,E0,Q1,2015,420031005001,7
EMS,E0,Q1,2015,420031005002,4
EMS,E0,Q1,2015,420031011001,6
EMS,E0,Q1,2015,420031011002,5
EMS,E0,Q1,2015,420031011003,3
EMS,E0,Q1,2015,420031014001,7
EMS,E0,Q1,2015,420031014002,1
EMS,E0,Q1,2015,420031014003,2
EMS,E0,Q1,2015,420031014004,1
EMS,E0,Q1,2015,420031016001,10
EMS,E0,Q1,2015,420031017001,4
EMS,E0,Q1,2015,420031017002,7
